行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,總價,經度,緯度
北區,27.14,113.32,37.15066018,7,7,住,7,0,7,1,無,2017/6/18,8150000,120.671302,24.158514999999998
南屯區,10.83,125.48,23.74039166,3,16,住,3,2,2,1,坡道機械,2019/2/26,7100000,120.62940900000001,24.139544
南屯區,12.01,146.67,20.0442172,5,14,住,3,2,2,1,坡道平面,2019/3/31,9900000,120.62730900000001,24.149909
神岡區,15.48,112.58,25.44336982,9,16,住,3,2,2,1,坡道機械,2020/2/10,5500000,120.698047,24.252746
西屯區,11.73,187.67,1.60988932,19,28,商,3,2,2,1,坡道平面,2018/8/27,20380000,120.62088999999999,24.17474
西屯區,6.54,55.97,18.96548184,7,8,住,2,1,1,1,無,2017/2/14,3200000,120.643919,24.182126
南區,14.27,143.3,24.6931833,4,14,住,3,2,2,1,坡道平面,2017/7/31,6250000,120.65488,24.121922
北區,27.39,85.19,37.50111227,2,5,住,3,2,2,0,無,2018/1/8,3000000,120.703295,24.158266
南屯區,26.04,140.19,24.25238027,6,7,住,3,2,2,1,升降機械,2019/2/14,7500000,120.639626,24.143017999999998
西區,20.85,80.63,35.56541202,7,7,住,3,1,2,1,無,2019/1/15,5000000,120.666113,24.147779999999997
北屯區,26.31,148.51,29.79390405,7,7,住,4,3,3,1,坡道平面,2019/12/9,7500000,120.69096299999998,24.169401999999998
北區,3.37,31.08,21.83754629,10,14,住,1,0,1,1,無,2018/5/17,1550000,120.684582,24.166829999999997
北區,8.3,66.45,24.60283236,11,16,住,2,2,1,1,無,2019/7/22,2970000,120.699026,24.153876999999998
北屯區,21.21,147.36,3.54011376,3,14,住,3,2,2,1,坡道平面,2019/7/13,7480000,120.740504,24.161138
北屯區,26.88,218.78,-1.363477689,7,15,住,4,2,2,1,坡道平面,2018/7/12,15280000,120.688534,24.195242
北屯區,12.77,125.15,23.31875398,10,14,住,3,2,2,1,坡道機械,2017/11/11,6250000,120.67801299999999,24.184163
北屯區,18.2,173.09,4.594207958,14,14,住,3,2,2,1,坡道平面,2017/3/12,8250000,120.721672,24.175619
西屯區,34.69,96.63,37.34505158,2,4,住,5,0,5,0,無,2019/5/1,8000000,120.647521,24.182756
北區,24.35,100.42,40.18426114,3,5,住,3,2,2,0,無,2020/3/31,4350000,120.692916,24.16133
北區,11.76,135.88,12.9338727,6,13,住,2,2,1,1,坡道平面,2016/11/23,8500000,120.674507,24.170309
南區,21.29,163.37,0.843275358,16,20,住,3,2,2,1,坡道平面,2016/10/24,10650000,120.65629299999999,24.112614999999998
清水區,11.02,120.44,-0.7529244270000001,8,15,商,2,2,1,1,坡道機械,2019/4/10,4360000,120.542064,24.268632999999998
南屯區,28.17,132.59,0.101302559,10,11,住,3,1,2,1,坡道平面,2018/8/30,10980000,120.62668400000001,24.141408
大里區,18.28,160.88,1.4702560630000001,14,23,商,3,2,2,1,坡道平面,2020/4/26,9980000,120.678225,24.098566
北屯區,18.14,172.5,2.047954441,8,15,商,3,2,2,1,坡道平面,2018/9/9,9800000,120.717522,24.172619
大里區,17.93,146.03,23.88276282,10,13,住,4,2,2,1,坡道平面,2018/8/5,7300000,120.68595900000001,24.121675
東區,12.77,128.27,6.614783329,11,15,商,2,1,1,1,坡道平面,2018/7/12,3500000,120.68643,24.141681
南區,15.26,133.96,22.86426142,4,16,住,3,2,2,1,無,2017/12/4,5250000,120.655758,24.115095
北區,2.5,29.3,24.95876028,10,21,住,1,1,1,1,無,2020/5/22,1540000,120.67216699999999,24.164073000000002
北屯區,21.27,171.19,1.694764437,4,21,住,3,2,2,1,坡道平面,2020/4/11,11630000,120.712627,24.18215
南屯區,15.91,128.63,23.72122631,14,16,住,4,2,2,1,坡道機械,2018/5/26,6550000,120.61816200000001,24.158269
南區,10.22,106.9,18.51098927,14,14,住,3,2,1,1,升降平面,2018/11/8,5200000,120.65898899999999,24.125247
南屯區,22.07,327.02,0.725545357,17,26,商,3,2,3,1,坡道平面,2019/10/17,33200000,120.624711,24.151926
大里區,26.15,123.65,-1.672861181,4,11,住,2,2,1,1,坡道平面,2018/5/1,6750000,120.69481999999999,24.083172
北屯區,22.58,195.02,-1.4702560630000001,5,15,住,4,2,2,1,坡道平面,2018/6/3,14970000,120.688534,24.195242
北區,25.31,71.17,38.77150113,2,5,住,3,2,1,0,無,2018/7/12,3450000,120.66735,24.16254
西屯區,21.51,222.52,28.36197869,9,12,住,4,2,2,1,坡道平面,2019/8/29,12500000,120.64896599999999,24.158676999999997
大雅區,28.0,160.45,-1.552393273,11,14,住,3,2,2,1,坡道平面,2018/6/25,11000000,120.64913,24.217677
西屯區,50.05,383.2,5.779721692000001,13,21,住,4,2,3,1,坡道平面,2019/12/8,27700000,120.636152,24.174766
西屯區,28.9,180.48,9.730521503,2,14,住,3,2,2,1,坡道平面,2017/3/18,8300000,120.66198100000001,24.176007000000002
北區,17.29,117.77,1.604413506,1,12,商,2,2,2,1,坡道平面,2018/8/27,10000000,120.68523799999998,24.154128
大雅區,24.02,128.27,5.089769126,8,12,住,2,2,2,1,坡道機械,2019/3/29,6860000,120.652143,24.21956
北區,20.5,143.29,28.78361636,4,7,住,4,2,2,1,無,2019/11/3,5500000,120.686695,24.166560999999998
大里區,12.42,89.58,25.62407168,3,7,住,3,2,1,1,無,2018/2/8,3880000,120.68189199999999,24.111193
大雅區,17.79,111.88,27.97319589,9,10,住,3,2,2,1,坡道機械,2019/12/16,6400000,120.652005,24.217953
北屯區,10.58,160.83,21.89778024,7,26,住,3,2,2,1,坡道機械,2017/3/8,8100000,120.697477,24.171067999999998
北屯區,30.68,397.74,1.300505828,12,25,商,3,2,3,1,坡道平面,2019/10/15,32580000,120.670721,24.198722
大里區,17.05,131.22,24.4604612,7,8,住,3,2,2,1,坡道平面,2018/8/28,4250000,120.69138999999998,24.077304
北區,2.32,24.87,34.74677783,6,12,住,1,1,1,1,無,2020/4/11,1200000,120.678321,24.149256
西區,24.47,266.78,10.25893756,2,15,住,4,2,3,1,坡道平面,2017/3/26,16980000,120.657801,24.134485
神岡區,21.84,60.24,2.398406538,1,7,住,2,1,1,1,無,2020/5/21,4500000,120.683567,24.250602999999998
東區,20.86,143.94,18.0537588,10,16,住,3,2,2,1,無,2017/6/6,5760000,120.69456000000001,24.152193
西屯區,9.0,90.69,0.8952955909999999,12,15,商,1,1,1,1,坡道機械,2019/10/19,7100000,120.63536599999999,24.17671
北屯區,17.79,148.5,24.13465027,3,11,住,3,2,2,1,坡道平面,2017/1/12,6350000,120.679381,24.173921
大里區,16.43,131.05,3.041814685,5,15,住,3,2,2,1,坡道機械,2020/3/22,7850000,120.692259,24.085173
大里區,27.32,119.82,-1.9192728119999998,7,11,住,2,2,1,1,坡道平面,2018/1/24,6690000,120.69493999999999,24.082913
東區,37.51,210.94,0.167012327,10,22,住,4,2,2,1,坡道平面,2018/1/1,15750000,120.69460500000001,24.135960999999998
西屯區,22.93,150.2,27.30514658,6,7,住,5,0,5,1,升降機械,2017/11/13,6900000,120.66387399999999,24.176068
西區,19.83,81.5,41.69558581,3,6,住,3,2,2,1,無,2019/5/31,3000000,120.67073899999998,24.141914
南屯區,49.81,233.55,1.483945598,18,20,住,4,2,2,1,坡道平面,2019/2/15,27480000,120.62423999999999,24.145305
西區,22.3,139.26,24.09358166,7,8,住,3,2,2,1,升降機械,2019/11/26,7000000,120.662557,24.157513
北屯區,3.69,38.69,22.078482100000002,11,17,商,1,0,1,1,無,2017/1/19,1780000,120.681357,24.176145
西屯區,5.57,28.5,25.13124842,4,7,住,0,0,0,1,無,2019/5/3,1360000,120.605622,24.186564999999998
南屯區,25.57,156.12,2.395668631,9,12,住,3,2,2,1,坡道平面,2019/3/11,8500000,120.616653,24.155435999999998
北區,30.33,93.46,34.17181735,4,5,住,2,2,1,0,無,2020/2/25,4450000,120.67166999999999,24.156003
北屯區,20.23,173.6,1.04314257,8,14,住,3,2,2,1,坡道平面,2017/6/18,7600000,120.710393,24.161037
西屯區,13.9,104.74,25.82393889,3,10,住,3,2,2,1,無,2020/2/25,6340000,120.65073400000001,24.173869
沙鹿區,26.71,156.19,0.303907678,5,10,商,3,2,2,1,坡道平面,2020/3/30,7930000,120.567477,24.224027
西屯區,10.14,157.67,0.11225418699999999,12,27,商,3,2,2,1,坡道平面,2017/7/4,14350000,120.624073,24.15521
北屯區,31.18,172.48,2.124615837,5,13,住,3,2,2,1,坡道平面,2019/4/5,12880000,120.69599099999999,24.18511
東區,21.54,82.38,27.34073937,5,7,住,2,2,2,1,無,2020/4/20,3750000,,
北區,25.0,166.46,27.81165938,7,10,住,4,2,2,1,坡道平面,2017/8/4,6300000,120.69983700000002,24.152314999999998
北屯區,19.07,129.65,28.28531729,3,13,住,3,2,2,1,坡道機械,2020/2/9,5160000,120.714772,24.172701999999997
大雅區,16.61,108.69,24.89578841,8,14,住,3,2,2,1,坡道機械,2018/10/15,4900000,120.668131,24.233153
西屯區,20.84,206.43,10.54641779,12,15,住,3,2,2,1,坡道平面,2020/5/24,14530000,120.61423400000001,24.177835
北屯區,15.26,170.62,2.962415382,15,15,住,3,2,2,1,坡道平面,2017/5/20,8000000,120.720325,24.175056
北區,4.25,25.52,23.24209258,6,6,住,1,1,1,1,無,2017/10/19,468000,120.671986,24.165337
南屯區,12.61,82.87,21.89230443,3,7,住,2,1,1,1,升降機械,2018/3/18,4360000,120.64711899999999,24.138932
北區,9.23,102.2,20.75333511,9,14,住,2,1,1,1,坡道平面,2019/8/8,5210000,120.67918200000001,24.172578
西屯區,16.62,140.02,10.10013895,2,12,住,3,2,2,1,坡道平面,2018/8/17,7300000,120.61342900000001,24.1734
中區,3.51,25.59,35.53255714,9,11,住,1,0,1,1,無,2017/7/13,950000,120.679014,24.146719
南區,4.86,36.63,12.20011362,7,12,商,1,1,1,1,無,2018/3/2,1900000,120.65846,24.117892
東區,22.16,206.87,1.6482200180000002,13,15,商,4,2,2,1,坡道平面,2018/3/14,12380000,120.706477,24.148357999999998
西區,2.85,21.79,42.38006256,7,11,住,1,0,1,1,無,2020/5/15,1200000,120.660049,24.14647
太平區,25.21,155.53,24.72877609,6,12,住,3,2,2,1,坡道平面,2020/3/29,5000000,120.715594,24.125381
北屯區,20.23,174.64,1.106114431,11,14,住,3,2,2,1,坡道平面,2017/7/11,8400000,120.710393,24.161037
太平區,21.06,75.08,31.297015000000002,5,5,住,3,2,1,0,無,2020/3/28,2700000,120.720307,24.151661999999998
大里區,10.02,102.83,23.08055607,5,16,住,3,2,1,1,升降機械,2019/1/20,4500000,120.68893100000001,24.116858999999998
北屯區,9.97,93.6,22.95187444,11,13,住,2,2,1,1,無,2018/3/13,4300000,120.686443,24.181455
東區,9.24,102.11,12.64091665,13,15,住,2,1,1,1,坡道平面,2019/3/23,5600000,120.700993,24.145861
北屯區,28.1,170.79,4.388864932,5,11,住,3,2,2,1,坡道平面,2020/2/27,8450000,120.72661599999999,24.166045999999998
北區,25.0,98.1,30.37434034,5,5,住,3,2,2,0,無,2017/3/14,3450000,120.673396,24.152322
北屯區,19.09,190.82,0.282004422,14,25,商,3,2,2,1,坡道平面,2019/4/17,15000000,120.68489299999999,24.17801
南區,14.6,154.28,24.32082794,11,15,住,4,2,2,1,坡道平面,2019/4/24,7500000,120.673996,24.128785999999998
北區,12.8,135.84,23.80336352,16,17,住,3,2,2,1,坡道機械,2018/3/6,7200000,120.686571,24.154738000000002
南屯區,30.71,188.68,6.048036578,7,15,住,3,2,2,1,坡道平面,2019/11/11,11330000,120.60943799999998,24.150348
北屯區,10.5,125.14,6.042560764,16,22,住,2,2,2,1,坡道平面,2019/8/10,9150000,120.697477,24.171067999999998
南屯區,35.74,276.84,9.686714991,6,15,住,4,2,2,1,坡道平面,2019/5/3,19000000,120.62238400000001,24.150631
北屯區,20.98,106.34,27.08885193,2,6,住,3,2,2,1,坡道機械,2018/1/29,4260000,120.71193899999999,24.173479999999998
北屯區,17.82,128.93,23.9922791,3,11,住,3,2,2,1,無,2019/12/26,6570000,120.69258400000001,24.180246
北區,4.16,37.42,23.38720165,7,13,住,1,0,1,1,無,2017/5/1,1350000,120.684582,24.166829999999997
南屯區,23.79,124.65,24.46319911,6,6,住,3,2,2,1,坡道機械,2017/6/30,5230000,120.638686,24.140705999999998
西屯區,22.72,153.35,3.1704963139999998,4,12,住,3,2,2,1,坡道平面,2017/1/6,9800000,120.665411,24.175141
西區,13.59,108.55,25.53372075,2,7,住,3,1,2,1,無,2018/6/20,4500000,120.67009399999999,24.143404999999998
南區,7.1,50.23,37.12875692,7,12,住,2,1,1,1,無,2019/11/4,2700000,120.666946,24.127531
大里區,24.1,226.49,26.16070145,9,14,住,4,2,2,1,坡道平面,2017/6/28,8500000,120.674396,24.109455999999998
北區,25.4,207.78,24.73698981,3,12,住,4,2,2,1,無,2020/1/9,11600000,120.68013899999998,24.159727
西屯區,20.01,186.62,11.5676571,7,15,住,3,2,2,1,坡道平面,2018/11/19,12500000,120.609973,24.192242
大雅區,12.45,97.03,22.70546281,4,14,住,2,1,1,1,坡道平面,2016/9/14,2740000,120.668131,24.233153
南屯區,21.27,151.23,9.423875918,11,12,住,3,2,2,1,坡道平面,2017/5/21,8500000,120.616781,24.151819
北區,13.77,147.14,23.65004073,6,13,住,4,2,2,1,坡道平面,2017/6/21,7800000,120.673451,24.164767
北屯區,15.14,108.12,23.91561771,2,8,住,3,2,1,1,升降機械,2017/4/17,4800000,120.671093,24.185473
北屯區,40.61,238.09,0.77756559,7,13,住,4,2,2,1,坡道平面,2017/11/29,16300000,120.69599099999999,24.18511
南區,25.47,135.25,0.881606056,9,12,住,3,1,2,1,坡道平面,2019/1/11,9000000,120.648051,24.112867
南區,13.53,127.84,24.81912702,12,20,住,3,2,2,1,坡道平面,2020/2/22,4500000,120.658716,24.124379
大肚區,29.96,94.48,0.095826745,2,7,住,3,1,1,1,升降機械,2020/5/13,4340000,120.545529,24.157011999999998
西屯區,44.93,215.66,12.86816293,8,9,住,4,2,2,1,坡道平面,2018/5/17,10700000,120.6497,24.178298
西屯區,13.22,146.54,10.70247849,9,22,住,3,2,2,1,坡道平面,2019/8/11,10800000,120.609973,24.192242
西區,15.88,217.14,11.55944338,11,22,住,4,2,2,1,坡道機械,2017/6/9,18500000,120.663203,24.133141000000002
大里區,22.02,120.17,29.36679056,5,7,住,3,2,2,1,無,2020/2/26,5140000,120.68543000000001,24.111926999999998
北屯區,23.5,161.06,21.55280396,2,9,住,4,2,2,1,坡道平面,2019/11/1,8300000,120.69505500000001,24.177073
西區,8.95,99.82,21.82385675,8,14,住,2,2,1,1,坡道平面,2018/6/26,5200000,120.65348600000002,24.153458999999998
西屯區,16.21,148.9,25.77465656,4,15,住,4,2,2,1,無,2020/4/20,6880000,120.60644099999999,24.187173
大里區,24.6,179.78,2.543515609,9,15,住,3,2,2,1,坡道平面,2019/7/6,11450000,120.661974,24.096657999999998
西屯區,37.68,207.61,2.5927979359999997,9,21,住,3,2,2,1,坡道平面,2020/2/1,18360000,120.626981,24.181891
北屯區,43.45,251.13,2.401144445,8,11,住,7,6,6,1,坡道機械,2017/2/8,14500000,120.717522,24.172619
中區,1.93,37.39,21.76636071,20,28,住,1,1,1,1,無,2018/11/7,1380000,120.674124,24.143335999999998
南屯區,32.47,325.37,11.65527013,15,16,住,4,2,2,1,坡道平面,2019/8/21,20880000,120.651931,24.140698
西區,3.2,31.83,23.73491584,9,12,住,1,0,1,1,無,2018/1/27,975000,120.66696,24.130948
西區,26.1,136.3,15.50750529,5,6,住,4,2,2,1,坡道平面,2017/10/6,3600000,120.663444,24.147441
南區,7.98,116.14,12.8161427,17,18,商,2,2,2,1,坡道平面,2017/10/18,7000000,120.68382,24.11895
南屯區,10.43,108.93,3.236206082,7,14,住,2,2,1,1,坡道機械,2017/1/11,6700000,120.61816200000001,24.158269
西區,19.94,204.67,10.69700268,14,15,住,4,2,2,1,坡道平面,2018/3/16,15400000,120.65526100000001,24.135203
東區,24.42,168.86,4.74753075,8,12,住,3,2,2,1,坡道平面,2020/5/3,9380000,120.70588799999999,24.137398
南屯區,31.33,209.91,3.761884228,12,14,住,3,2,2,1,坡道平面,2019/9/28,16350000,120.63104399999999,24.119771
南區,19.94,177.92,3.1184760810000003,10,14,住,3,2,2,1,坡道平面,2018/4/1,13600000,120.660532,24.110766
大雅區,16.24,112.9,23.84990794,7,14,住,3,2,1,1,坡道機械,2017/9/28,4650000,120.668131,24.233153
北區,3.89,30.65,28.18401473,4,7,住,1,1,1,1,無,2020/1/20,1170000,120.67714299999999,24.149038
北屯區,22.75,191.99,3.014435615,9,19,住,3,2,2,1,坡道平面,2017/12/28,17500000,120.68943600000001,24.185710999999998
西屯區,23.44,88.63,32.22516547,4,5,住,3,2,1,0,無,2017/3/18,2000000,120.668501,24.176282999999998
西屯區,12.81,84.5,27.57619937,4,13,住,2,1,1,1,無,2020/2/26,4300000,120.613855,24.180384
北屯區,27.54,218.17,2.7515965419999997,13,16,住,3,1,2,1,坡道平面,2018/5/27,13500000,120.70312,24.186776000000002
南屯區,16.11,93.0,24.68496958,6,8,住,3,2,1,1,坡道機械,2018/7/28,5360000,120.63595900000001,24.144264
北區,7.99,35.81,24.14560189,6,6,住,1,0,1,1,無,2018/1/8,1570000,120.67121499999999,24.171958
西屯區,10.74,104.01,0.7748276829999999,14,22,商,2,2,1,1,坡道平面,2018/5/10,10000000,120.63491,24.176417999999998
西區,41.4,292.15,1.363477689,6,13,住,3,2,2,1,坡道平面,2020/4/1,36800000,120.668104,24.150662
北屯區,28.9,144.58,28.08271217,3,5,住,3,2,2,1,坡道平面,2018/6/28,6750000,120.689842,24.164503
沙鹿區,23.42,63.44,-0.815896288,2,5,住,2,2,1,1,無,2019/1/19,3000000,120.56606799999999,24.256314
南屯區,23.53,145.21,2.8638507289999997,3,15,住,2,2,1,1,坡道平面,2017/11/2,10080000,120.636799,24.141911999999998
北屯區,20.0,74.35,38.5661581,4,5,住,3,2,1,0,無,2017/10/8,2760000,120.69821999999999,24.160951999999998
南屯區,16.32,89.61,27.36264263,6,7,住,3,2,1,1,無,2020/1/5,5960000,120.652294,24.151464999999998
大里區,18.95,111.55,28.24424868,7,11,住,3,2,2,1,坡道機械,2019/2/28,4300000,120.690595,24.088892
南屯區,24.08,197.54,0.48460954,11,15,住,4,2,2,1,坡道平面,2017/2/10,13680000,120.61816200000001,24.158269
西屯區,9.39,97.71,25.16684121,5,16,住,3,1,1,1,坡道平面,2020/4/16,6200000,120.646929,24.170544
南區,22.18,118.37,2.0342649059999998,8,12,住,2,2,1,1,坡道平面,2020/3/7,8000000,120.64797,24.112729
北屯區,25.62,152.06,2.921346776,7,14,住,3,2,2,1,坡道平面,2018/5/17,7380000,120.737982,24.159845999999998
中區,13.68,154.84,36.50998994,9,11,商,4,0,4,1,無,2018/5/23,6500000,120.67949399999999,24.145021
北屯區,27.01,149.91,3.4004805030000003,7,12,住,3,2,2,1,坡道平面,2019/7/29,8500000,120.729193,24.169872
北屯區,16.3,100.8,25.02994586,2,9,住,3,2,2,1,無,2019/5/7,4900000,120.69086499999999,24.17922
西屯區,11.98,161.2,22.75474514,17,21,住,3,2,2,1,無,2019/10/21,9650000,120.64923799999998,24.160401
大里區,22.04,114.55,23.94847259,6,6,住,4,2,2,1,坡道平面,2016/10/11,5330000,120.692849,24.110631
南屯區,53.07,202.07,1.067783733,4,17,住,3,2,2,1,坡道平面,2018/5/4,17700000,120.62576299999999,24.151623999999998
北屯區,41.59,199.12,28.96979404,7,7,住,4,2,2,1,坡道機械,2020/2/2,6950000,120.71128200000001,24.171049
北屯區,23.16,146.8,0.846013265,8,12,住,3,2,2,1,坡道機械,2019/3/2,8200000,120.710393,24.161037
北屯區,29.28,210.74,0.45723047,11,12,住,3,2,2,1,坡道平面,2017/8/24,14700000,120.664282,24.185928
南屯區,19.3,135.07,20.55072999,5,9,住,3,2,2,1,坡道平面,2018/11/29,7000000,120.650925,24.13727
北屯區,10.52,102.31,24.27428352,8,16,住,3,2,1,1,坡道平面,2019/11/22,4950000,120.692218,24.175660999999998
西屯區,22.56,133.83,24.45498539,3,13,住,4,2,2,1,坡道機械,2019/1/11,6050000,120.612917,24.173424
北區,4.39,50.49,10.79556733,16,17,住,1,1,1,1,無,2019/9/15,4000000,120.680178,24.162869
西屯區,3.84,21.61,24.97792562,8,13,住,1,0,1,1,無,2019/8/31,1380000,120.607274,24.185003
西區,8.0,36.29,26.68090378,5,5,住,1,0,1,1,無,2020/2/26,1620000,120.67423799999999,24.150479999999998
西屯區,17.08,123.85,5.815314483,7,12,住,2,2,2,1,坡道機械,2020/4/27,8300000,120.665566,24.174856
中區,7.61,48.09,-2.056168162,4,7,商,1,1,1,1,升降機械,2017/9/9,3220000,120.678835,24.140785
大雅區,24.21,138.01,18.39325927,5,8,住,4,2,2,1,坡道機械,2016/11/28,6050000,120.66691599999999,24.217272
北屯區,34.18,79.52,39.72703067,3,4,住,3,2,2,0,無,2019/10/13,3400000,120.70252099999999,24.165599
南屯區,36.96,259.18,0.23819791,11,20,住,3,2,2,1,坡道平面,2018/9/20,22820000,120.62238400000001,24.150631
南區,10.06,133.36,26.491988199999998,3,16,住,3,2,2,1,坡道平面,2019/12/9,6260000,120.659349,24.117138
北區,24.03,73.48,39.85023649,3,5,住,3,2,2,0,無,2020/2/23,4600000,120.6818,24.160679000000002
西屯區,29.7,208.84,0.060233954000000006,5,14,住,3,2,2,1,坡道平面,2017/1/14,16650000,120.64205600000001,24.182064999999998
南屯區,19.83,144.42,18.63145718,3,9,住,3,2,2,1,坡道平面,2017/5/3,8100000,120.636242,24.152653
北屯區,19.32,173.88,4.898115636,4,15,商,4,2,2,1,坡道機械,2020/2/21,12180000,120.685906,24.195803
西屯區,13.52,216.74,2.757072356,9,28,商,4,2,2,1,坡道平面,2019/10/20,16600000,120.62088999999999,24.17474
南屯區,14.83,87.55,20.49597185,8,8,住,2,1,1,1,無,2016/10/13,5250000,120.647631,24.139579
西屯區,43.3,291.21,4.331368885,5,14,住,3,2,2,1,坡道平面,2020/3/18,24700000,120.62555900000001,24.183219
西屯區,11.12,80.82,22.20168792,5,12,住,2,1,1,1,無,2020/2/3,4980000,120.655496,24.161299
北屯區,22.99,181.97,4.969301218,7,14,住,2,2,2,1,坡道平面,2019/9/25,13350000,120.681973,24.178017
西區,21.58,304.94,7.047372636,2,26,商,3,2,3,1,坡道平面,2019/12/9,22900000,120.65775900000001,24.157795999999998
東區,18.84,199.01,7.961833576,9,15,商,4,2,2,1,坡道平面,2018/12/22,13180000,120.689881,24.143045
西屯區,12.27,117.59,24.90947795,14,16,住,3,2,1,1,坡道平面,2019/6/20,6350000,120.60638200000001,24.188164999999998
北區,38.13,253.54,12.09333525,3,8,住,4,2,2,1,坡道機械,2018/7/13,15000000,120.673229,24.173309
南區,11.07,102.75,25.55014819,13,16,住,3,2,2,1,無,2020/2/14,5300000,120.66073700000001,24.124668
北屯區,12.9,132.9,21.684223499999998,3,14,住,3,2,2,1,升降機械,2017/4/13,3500000,120.66783500000001,24.18991
西區,28.97,158.16,-1.8754663,11,14,住,3,2,2,1,坡道平面,2016/12/29,13520000,120.67228700000001,24.152342
西屯區,18.25,95.97,25.71989842,1,7,住,3,2,2,1,坡道機械,2018/11/20,5200000,120.656903,24.163104999999998
大里區,12.47,105.59,25.7089468,9,14,住,2,1,1,1,坡道機械,2019/6/1,3500000,120.69276,24.092651999999998
大里區,18.36,161.42,1.327884898,15,23,商,3,2,2,1,坡道平面,2020/3/5,9900000,120.67813899999999,24.098898000000002
北區,19.68,134.36,0.25462535199999997,6,12,商,2,2,2,1,坡道平面,2017/4/21,9730000,120.68523799999998,24.154128
西屯區,21.02,102.11,34.36073294,4,5,住,3,2,2,0,無,2019/5/7,3600000,120.668501,24.176282999999998
中區,5.26,47.42,24.64390097,10,10,商,2,2,2,1,無,2018/5/10,2100000,120.67783999999999,24.146457
中區,5.32,80.64,50.92233242,5,10,住,3,1,1,1,無,2020/1/14,2750000,120.68295900000001,24.143304999999998
北區,21.2,129.45,26.91362588,5,7,住,3,2,2,1,升降機械,2017/12/6,6000000,120.67653500000002,24.167317999999998
南屯區,53.13,367.27,0.898033498,13,20,住,3,2,2,1,坡道平面,2020/1/8,31380000,120.64143700000001,24.12797
南屯區,21.2,116.55,-0.052020233,3,12,住,2,2,1,1,坡道平面,2019/10/26,10150000,120.65221899999999,24.144079
北區,27.39,93.02,38.65103322,5,5,住,3,2,2,0,無,2019/3/4,3500000,120.703295,24.158266
西區,34.0,173.17,37.73657228,4,6,住,4,2,3,1,無,2018/4/10,5500000,120.66773700000002,24.142938
豐原區,30.05,126.51,3.51273469,8,11,住,2,2,1,1,坡道平面,2019/12/28,7100000,120.721874,24.242121
南屯區,19.5,158.49,2.948725847,3,12,住,3,2,2,1,坡道平面,2017/7/30,8500000,120.611318,24.140276
北屯區,22.04,174.56,1.292292107,13,15,住,3,2,2,1,坡道平面,2019/3/10,9290000,120.727425,24.160373999999997
北區,8.24,186.92,1.514062575,6,28,商,3,2,2,1,坡道平面,2018/1/21,12100000,120.689378,24.157031
大雅區,16.24,116.14,6.5299082120000005,7,14,商,2,1,1,1,坡道機械,2020/2/18,6570000,120.66660800000001,24.21523
大里區,23.85,174.89,0.32854884100000004,8,15,住,3,2,2,1,坡道平面,2017/4/18,10500000,120.661974,24.096657999999998
南區,21.74,165.73,3.531900039,9,19,住,3,3,2,1,坡道平面,2018/4/2,9800000,120.646561,24.112468
南屯區,16.61,149.77,25.358494699999998,3,12,住,4,2,2,1,升降機械,2019/11/19,6750000,120.641355,24.143889
中區,7.3,73.2,38.27320205,6,10,住,2,1,1,1,無,2019/1/26,2500000,120.675261,24.144935999999998
西區,32.44,228.92,12.71210223,8,12,住,3,2,2,1,坡道平面,2020/2/28,23000000,120.66140700000001,24.139676
北屯區,26.01,145.92,29.46535521,2,7,住,3,2,2,1,坡道平面,2019/11/18,5700000,120.692967,24.170967
西區,2.6,43.31,24.00596864,14,22,商,1,1,1,1,無,2020/1/21,1680000,120.672223,24.14161
西區,36.99,164.71,1.002073965,7,11,住,3,2,2,1,坡道平面,2016/10/16,12600000,120.666054,24.137844
西屯區,27.52,125.33,-0.09308883800000001,10,14,住,2,2,1,1,坡道平面,2020/3/5,11580000,120.623411,24.174961
北區,14.68,109.44,25.79108401,2,12,住,3,2,2,1,無,2019/8/13,4500000,120.701296,24.157671
北屯區,20.28,70.18,35.33816574,5,5,住,3,2,1,0,無,2018/3/21,2500000,120.69761899999999,24.172878
西區,5.33,48.1,20.06338255,6,14,住,1,1,1,1,無,2016/9/21,2380000,120.65348600000002,24.153458999999998
龍井區,30.51,90.3,39.13290485,3,4,住,2,2,1,0,無,2020/2/14,3550000,120.588604,24.187784
烏日區,36.09,155.23,-0.465444191,4,13,住,3,2,2,1,坡道平面,2019/8/3,7900000,120.60706699999999,24.105401999999998
西屯區,35.38,85.1,40.91254441,4,4,住,4,2,2,0,無,2019/10/1,3700000,120.656878,24.163789
南區,4.78,119.69,12.86816293,18,32,住,3,2,2,1,坡道平面,2019/5/5,6350000,120.654048,24.121731
北區,18.1,88.44,23.92383143,5,7,住,3,1,2,1,無,2017/8/7,1200000,120.702127,24.158895
北屯區,34.29,86.67,38.00762507,3,5,住,3,1,2,0,無,2018/10/19,3200000,120.68915,24.165620999999998
南屯區,12.43,73.9,2.836471659,2,12,住,2,2,1,1,坡道平面,2020/4/8,3850000,120.631643,24.116365
南區,9.11,101.14,4.977514939,7,15,住,2,2,1,1,坡道平面,2017/5/20,6100000,120.671446,24.112735999999998
東區,14.22,108.15,13.68132131,9,14,商,3,2,2,1,無,2018/10/11,5350000,120.700993,24.145861
